id,date,type,amount,currency,amount_base,account_id,category_ids,to_account_id,to_amount,to_currency,debt_ref_id,comment,created_at,updated_at
txn_3d6edbf45807,2022-01-14,expense,8000,RUB,90.91,acc_0af0a27c37f0,cat_555bf8344ca0,,0,,,Стоматолог,2022-01-14T21:30:42.000Z,2022-01-14T18:30:56.000Z
txn_0e0e7782a9d9,2022-01-18,expense,700,RUB,7.95,acc_1865128d98f4,cat_c13d88cb4cb0,,0,,,,2022-01-18T12:39:45.000Z,2022-01-18T09:39:45.000Z
txn_e6dd7bc42b76,2022-01-19,expense,500,RUB,5.68,acc_0af0a27c37f0,"cat_e7a80f49aaf2,cat_1b7d5726533a",,0,,,,2022-01-19T13:34:36.000Z,2022-02-16T20:35:53.000Z
txn_5273866024c4,2022-01-20,transfer,31400,RUB,356.82,acc_1865128d98f4,,acc_0af0a27c37f0,31400,RUB,,,2021-12-28T19:51:06.000Z,2022-01-20T18:06:08.000Z
txn_b54ff5db9d3d,2022-01-20,income,4,RUB,0.05,acc_1865128d98f4,cat_d943641d1ed7,,0,,,,2022-01-20T13:51:26.000Z,2022-01-20T10:51:28.000Z
txn_6746c8a4daae,2022-01-20,expense,5000,RUB,56.82,acc_0af0a27c37f0,cat_555bf8344ca0,,0,,,Стоматолог,2022-01-21T19:34:21.000Z,2022-01-21T16:34:35.000Z
txn_d881a6282801,2022-01-28,expense,133803.52,RUB,1520.49,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-01-28T20:53:47.000Z,2022-01-28T17:53:54.000Z
txn_ddae5026080c,2022-01-28,expense,67608.89,RUB,768.28,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-01-28T20:54:34.000Z,2022-01-28T17:54:50.000Z
txn_a1a60f71c386,2022-01-29,expense,248,RUB,2.82,acc_1865128d98f4,cat_4717d53ebfdf,,0,,,,2022-01-29T11:47:34.000Z,2022-01-29T08:47:35.000Z
txn_c142ff3f75ec,2022-02-03,income,148.98,RUB,1.69,acc_1865128d98f4,cat_c13d88cb4cb0,,0,,,,2022-02-03T19:44:59.000Z,2022-02-03T16:45:04.000Z
txn_bf0b8876381f,2022-02-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-02-07T10:18:08.000Z,2022-02-07T07:18:10.000Z
txn_c876db319a0b,2022-02-07,transfer,14543.36,RUB,165.27,acc_72b12e885ea7,,acc_1865128d98f4,14543.36,RUB,,,2022-02-07T10:52:10.000Z,2022-02-07T07:52:11.000Z
txn_fa799dca5f25,2022-02-07,expense,2137.06,RUB,24.28,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-02-07T10:53:29.000Z,2022-02-07T07:53:36.000Z
txn_4dd0abd13f05,2022-02-07,expense,12000,RUB,136.36,acc_1865128d98f4,,,0,,,КК Восточный [→ Halva],2022-02-07T10:55:28.000Z,2022-02-07T07:55:32.000Z
txn_fcc30b3d6d8d,2022-02-07,income,8840,RUB,100.45,acc_1865128d98f4,cat_a9bb50547acd,,0,,,,2022-02-07T16:21:08.000Z,2022-02-07T13:21:19.000Z
txn_b14a7763a050,2022-02-07,income,180730,RUB,2053.75,acc_1865128d98f4,cat_a9bb50547acd,,0,,,,2022-02-07T16:21:24.000Z,2022-02-07T13:21:34.000Z
txn_ec056c9f86c6,2022-02-07,income,300,RUB,3.41,acc_1865128d98f4,cat_c13d88cb4cb0,,0,,,,2022-02-07T20:54:25.000Z,2022-02-07T17:54:27.000Z
txn_b32b06f3b12e,2022-02-08,transfer,150000,RUB,1704.55,acc_1865128d98f4,,acc_72b12e885ea7,150000,RUB,,,2022-02-08T19:18:48.000Z,2022-02-08T16:18:50.000Z
txn_20e1fb7eb7c9,2022-02-14,expense,4,RUB,0.05,acc_1865128d98f4,cat_a9bb50547acd,,0,,,,2022-02-14T23:31:51.000Z,2022-03-20T06:09:06.000Z
txn_e7bbeb67328d,2022-02-17,income,186854.9,RUB,2123.35,acc_1865128d98f4,cat_a9bb50547acd,,0,,,,2022-02-17T15:40:31.000Z,2022-02-17T12:40:35.000Z
txn_ba32dfb05736,2022-02-17,transfer,150000,RUB,1704.55,acc_1865128d98f4,,acc_72b12e885ea7,150000,RUB,,,2022-02-17T19:09:01.000Z,2022-02-17T16:09:09.000Z
txn_d8470add410f,2022-02-18,expense,2500,RUB,28.41,acc_0af0a27c37f0,cat_f879cc82979f,,0,,,,2022-02-18T15:45:18.000Z,2022-02-18T13:48:05.000Z
txn_108c3123403b,2022-02-22,expense,23509.57,RUB,267.15,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-02-22T00:14:02.000Z,2022-02-21T21:14:12.000Z
txn_b6eb8c555a72,2022-02-22,expense,27812.02,RUB,316.05,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-02-22T00:15:34.000Z,2022-02-21T21:15:43.000Z
txn_36f9a6b8f5a3,2022-02-22,expense,50000,RUB,568.18,acc_1865128d98f4,cat_4bedd3c4b3c0,,0,,,ПСБ,2022-02-23T10:16:49.000Z,2022-02-23T07:16:56.000Z
txn_382790c46d05,2022-02-23,expense,248,RUB,2.82,acc_1865128d98f4,cat_4717d53ebfdf,,0,,,,2022-02-23T10:55:19.000Z,2022-02-23T07:55:23.000Z
txn_3769e4fb7119,2022-02-25,income,27824.27,RUB,316.18,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-02-25T13:54:20.000Z,2022-02-25T10:54:23.000Z
txn_4937d2d0f9ab,2022-02-26,expense,30000,RUB,340.91,acc_1865128d98f4,cat_130fd2da7254,,0,,,,2022-02-26T10:05:57.000Z,2022-02-26T07:06:05.000Z
txn_79b3897e0566,2022-03-04,expense,816,RUB,9.27,acc_1865128d98f4,cat_f879cc82979f,,0,,,,2022-03-04T17:33:23.000Z,2022-03-04T14:33:24.000Z
txn_137eccfe0823,2022-03-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-03-07T00:34:24.000Z,2022-03-06T21:34:50.000Z
txn_26051572f476,2022-03-07,expense,1927.54,RUB,21.9,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-03-07T00:34:41.000Z,2022-03-06T21:34:50.000Z
txn_16bc7a8c69a0,2022-03-07,expense,14223.27,RUB,161.63,acc_1865128d98f4,,,0,,,КК Восточный [→ Halva],2022-03-07T00:39:38.000Z,2022-03-06T21:39:42.000Z
txn_fff50aa5b433,2022-03-07,expense,70,RUB,0.8,acc_1865128d98f4,cat_4717d53ebfdf,,0,,,,2022-03-07T10:00:36.000Z,2022-03-07T07:00:43.000Z
txn_fcd8d1e31663,2022-03-07,expense,499.96,RUB,5.68,acc_1865128d98f4,cat_d2626f412da7,,0,,,,2022-03-07T14:02:37.000Z,2022-03-07T11:40:08.000Z
txn_07cb9a048928,2022-03-07,expense,1167.5,RUB,13.27,acc_1865128d98f4,"cat_bf4e28785ab0,cat_1b7d5726533a",,0,,,,2022-03-07T14:38:00.000Z,2022-03-07T11:40:08.000Z
txn_61ba921ba3bf,2022-03-11,expense,1094,RUB,12.43,acc_1865128d98f4,cat_7b334b726036,,0,,,,2022-03-11T12:37:13.000Z,2022-03-11T09:37:26.000Z
txn_f0a3a91e4cca,2022-03-11,expense,14960,RUB,170,acc_0af0a27c37f0,cat_f879cc82979f,,0,,,,2022-03-14T13:42:29.000Z,2022-03-14T10:43:01.000Z
txn_036acd738b94,2022-03-14,transfer,242590.02,RUB,2756.7,acc_72b12e885ea7,,acc_1865128d98f4,242590.02,RUB,,,2022-03-14T19:08:24.000Z,2022-03-14T16:11:46.000Z
txn_bbbc9015db27,2022-03-14,expense,242590.02,RUB,2756.7,acc_1865128d98f4,,,0,,,→ Tinkoff $ Deposit,2022-03-14T19:10:12.000Z,2022-03-14T16:11:46.000Z
txn_13d75fe4f433,2022-03-15,expense,67,RUB,0.76,acc_0af0a27c37f0,cat_d2626f412da7,,0,,,,2022-03-15T17:19:36.000Z,2022-03-15T14:19:37.000Z
txn_9a86a80ff8f8,2022-03-17,expense,1950,RUB,22.16,acc_0af0a27c37f0,cat_f879cc82979f,,0,,,,2022-03-17T10:57:59.000Z,2022-03-17T08:57:10.000Z
txn_84c3083a59ee,2022-03-18,expense,1900,RUB,21.59,acc_1865128d98f4,"cat_cd2158f023ff,cat_1b7d5726533a",,0,,,,2022-03-18T12:17:12.000Z,2022-03-18T09:17:22.000Z
txn_62f96272fa82,2022-03-18,expense,1083.62,RUB,12.31,acc_1865128d98f4,cat_130fd2da7254,,0,,,,2022-03-18T14:43:51.000Z,2022-03-18T11:43:52.000Z
txn_b58011102437,2022-03-18,expense,2000,RUB,22.73,acc_1865128d98f4,cat_cd2158f023ff,,0,,,,2022-03-18T23:49:55.000Z,2022-03-18T20:50:03.000Z
txn_4179b145da10,2022-03-20,income,90.41,RUB,1.03,acc_1865128d98f4,cat_4bedd3c4b3c0,,0,,,,2022-03-20T09:07:49.000Z,2022-03-20T06:08:11.000Z
txn_834458282eb6,2022-03-20,income,33,RUB,0.38,acc_1865128d98f4,cat_d943641d1ed7,,0,,,,2022-03-20T09:08:07.000Z,2022-03-20T06:08:11.000Z
txn_700f516f1017,2022-03-23,income,53168,RUB,604.18,acc_1865128d98f4,cat_4bedd3c4b3c0,,0,,,ПСБ,2022-03-23T18:12:48.000Z,2022-03-23T15:15:19.000Z
txn_696e3f4d1278,2022-03-23,expense,7184,RUB,81.64,acc_1865128d98f4,"cat_bf4e28785ab0,cat_1b7d5726533a",,0,,,,2022-03-23T18:29:37.000Z,2022-03-23T15:29:42.000Z
txn_92d3c987ab38,2022-03-24,income,406713.93,RUB,4621.75,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-03-24T11:43:29.000Z,2022-03-24T08:43:34.000Z
txn_d46ad4939f26,2022-03-24,income,71987.88,RUB,818.04,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-03-24T11:44:21.000Z,2022-03-24T08:45:48.000Z
txn_2944766d1b58,2022-03-24,expense,2516.58,RUB,28.6,acc_1865128d98f4,cat_bf4e28785ab0,,0,,,,2022-03-24T19:12:04.000Z,2022-03-26T09:12:48.000Z
txn_bd7e93718427,2022-03-24,expense,1900,RUB,21.59,acc_0af0a27c37f0,"cat_e7a80f49aaf2,cat_1b7d5726533a",,0,,,,2022-03-24T19:28:14.000Z,2022-03-24T16:28:16.000Z
txn_668e3261ec10,2022-03-26,expense,2990,RUB,33.98,acc_1865128d98f4,"cat_7b334b726036,cat_1b7d5726533a",,0,,,,2022-03-26T12:59:52.000Z,2022-03-26T10:00:10.000Z
txn_ca9430bc4192,2022-03-30,expense,123.4,RUB,1.4,acc_1865128d98f4,"cat_bf4e28785ab0,cat_1b7d5726533a",,0,,,,2022-03-30T21:23:08.000Z,2022-03-30T18:23:10.000Z
txn_7995cd8cc977,2022-03-30,transfer,6500,RUB,73.86,acc_0af0a27c37f0,,acc_6095ddfb9f0d,65,EUR,,,2022-03-30T21:24:51.000Z,2022-03-30T18:25:51.000Z
txn_855581e8db1d,2022-03-30,expense,400,RUB,4.55,acc_1865128d98f4,"cat_9ca91fd2ee5f,cat_1b7d5726533a",,0,,,,2022-03-30T23:37:47.000Z,2022-03-30T20:37:49.000Z
txn_2a5904cc9503,2022-03-31,expense,54,RUB,0.61,acc_0af0a27c37f0,cat_7b334b726036,,0,,,,2022-03-31T10:21:23.000Z,2022-03-31T07:53:36.000Z
txn_a572020e6bd8,2022-03-31,expense,300,RUB,3.41,acc_1865128d98f4,cat_7b334b726036,,0,,,,2022-03-31T10:21:34.000Z,2022-03-31T07:53:36.000Z
txn_acc8bb20d71b,2022-04-01,expense,1020,RUB,11.59,acc_1865128d98f4,cat_f879cc82979f,,0,,,,2022-04-01T15:27:08.000Z,2022-04-01T12:27:12.000Z
txn_121a2b967546,2022-04-01,expense,390,RUB,4.43,acc_1865128d98f4,cat_d2626f412da7,,0,,,,2022-04-01T15:40:50.000Z,2022-04-01T12:40:51.000Z
txn_3df3db569f19,2022-04-01,expense,249.78,RUB,2.84,acc_1865128d98f4,cat_130fd2da7254,,0,,,,2022-04-01T16:07:01.000Z,2022-04-01T13:07:04.000Z
txn_a80c479a03fa,2022-04-02,expense,100,EUR,100,acc_6095ddfb9f0d,cat_7b334b726036,,0,,,,2022-04-03T11:36:37.000Z,2022-04-03T08:36:43.000Z
txn_57fe9902b813,2022-04-02,income,81.11,EUR,81.11,acc_6095ddfb9f0d,cat_4bedd3c4b3c0,,0,,,,2022-05-21T11:06:41.000Z,2022-05-21T08:06:59.000Z
txn_eefc0deb318f,2022-04-07,expense,3.67,RUB,0.04,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ЭлЭн,2022-04-07T09:13:11.000Z,2022-04-07T06:13:35.000Z
txn_71c46eac421a,2022-04-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-04-07T09:13:23.000Z,2022-04-07T06:13:35.000Z
txn_bac30310f89f,2022-04-07,expense,1761.88,RUB,20.02,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-04-07T09:15:10.000Z,2022-04-07T06:15:33.000Z
txn_9b357d4da73e,2022-04-07,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-04-07T10:56:16.000Z,2022-04-07T07:59:31.000Z
txn_80148eef2059,2022-04-11,expense,470.29,RUB,5.34,acc_1865128d98f4,cat_c13d88cb4cb0,,0,,,,2022-04-11T15:24:54.000Z,2022-05-01T13:10:25.000Z
txn_5ad17e35e90f,2022-04-19,income,144,RUB,1.64,acc_1865128d98f4,cat_d943641d1ed7,,0,,,,2022-05-21T11:03:38.000Z,2022-05-21T08:03:41.000Z
txn_ec2e58c13671,2022-04-19,income,78.04,RUB,0.89,acc_1865128d98f4,cat_4bedd3c4b3c0,,0,,,,2022-05-21T11:03:51.000Z,2022-05-21T08:03:55.000Z
txn_34db50895056,2022-04-27,expense,401900.28,RUB,4567.05,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-04-27T21:47:25.000Z,2022-04-27T18:47:41.000Z
txn_56a813ad52b7,2022-04-27,expense,162654.65,RUB,1848.35,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-04-27T21:48:12.000Z,2022-04-27T18:48:29.000Z
txn_4514f9a9751c,2022-04-29,expense,2250,RUB,25.57,acc_1865128d98f4,"cat_cd2158f023ff,cat_1b7d5726533a",,0,,,,2022-04-29T14:45:55.000Z,2022-04-29T11:46:16.000Z
txn_ebe7d93d1508,2022-05-05,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-05-05T13:29:19.000Z,2022-05-05T10:29:52.000Z
txn_e014f4e56005,2022-05-05,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-05-05T15:29:12.000Z,2022-05-05T12:29:34.000Z
txn_6353ea1bcf66,2022-05-05,expense,1629.48,RUB,18.52,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-05-05T15:29:31.000Z,2022-05-05T12:29:34.000Z
txn_f778cd78b645,2022-05-16,income,58307,RUB,662.58,acc_1865128d98f4,cat_a9bb50547acd,,0,,,,2022-05-16T16:23:59.000Z,2022-05-16T13:24:04.000Z
txn_b0c13857692e,2022-05-17,expense,50000,RUB,568.18,acc_1865128d98f4,,,0,,,→ ₽ Tinkoff Deposit,2022-05-17T13:45:20.000Z,2022-05-17T10:45:49.000Z
txn_893fbb361178,2022-05-21,expense,598,RUB,6.8,acc_1865128d98f4,,,0,,,КК Восточный [→ Halva],2022-05-21T11:02:16.000Z,2022-05-21T08:02:19.000Z
txn_fb7cb8d65896,2022-05-27,income,297,RUB,3.38,acc_1865128d98f4,cat_a9bb50547acd,,0,,,,2022-05-27T13:26:40.000Z,2022-05-27T10:26:44.000Z
txn_a2311c8f7b20,2022-06-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-06-07T11:26:29.000Z,2022-06-07T08:27:28.000Z
txn_d4421c27e846,2022-06-07,expense,1361.98,RUB,15.48,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-06-07T11:27:06.000Z,2022-06-07T08:27:28.000Z
txn_eadefba35e50,2022-06-09,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-06-09T10:28:26.000Z,2022-06-09T07:28:32.000Z
txn_d2397099e76e,2022-06-09,expense,35000,RUB,397.73,acc_1865128d98f4,,,0,,,→ ₽ Tinkoff Deposit,2022-06-14T10:29:09.000Z,2022-06-14T07:29:22.000Z
txn_07a45f11d7bb,2022-06-10,expense,5,EUR,5,acc_6095ddfb9f0d,cat_d2626f412da7,,0,,,,2022-06-10T19:26:25.000Z,2022-06-11T09:19:47.000Z
txn_62f30b1e179c,2022-06-21,expense,327097.57,RUB,3717.02,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-06-21T11:38:59.000Z,2022-06-21T08:39:04.000Z
txn_ca1cd99efe81,2022-06-21,expense,176897.28,RUB,2010.2,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-06-21T11:39:44.000Z,2022-06-21T08:40:06.000Z
txn_a9ce96812659,2022-06-23,expense,3000,RUB,34.09,acc_1865128d98f4,cat_555bf8344ca0,,0,,,,2022-06-23T21:02:58.000Z,2022-06-23T18:03:11.000Z
txn_6dba28923795,2022-07-02,expense,4.5,EUR,4.5,acc_6095ddfb9f0d,"cat_e7a80f49aaf2,cat_1b7d5726533a",,0,,,,2022-07-02T13:59:32.000Z,2022-07-09T15:02:56.000Z
txn_5983aacce816,2022-07-07,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-07-07T15:50:05.000Z,2022-07-09T15:02:56.000Z
txn_8d79d805a8c6,2022-07-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-07-07T15:53:49.000Z,2022-07-09T15:02:56.000Z
txn_e24bc768f9d5,2022-07-07,expense,854.43,RUB,9.71,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-07-07T15:54:03.000Z,2022-07-09T15:02:56.000Z
txn_e1e9c0457389,2022-07-16,expense,1.9,EUR,1.9,acc_6095ddfb9f0d,cat_d2626f412da7,,0,,,,2022-07-17T10:58:32.000Z,2022-07-17T07:58:41.000Z
txn_a6b43afbbd2a,2022-07-20,expense,10,EUR,10,acc_6095ddfb9f0d,cat_d2626f412da7,,0,,,,2022-07-20T17:18:06.000Z,2022-07-21T17:25:19.000Z
txn_a3822b7a6c75,2022-07-23,expense,4.25,EUR,4.25,acc_6095ddfb9f0d,"cat_e7a80f49aaf2,cat_1b7d5726533a",,0,,,,2022-07-23T11:37:01.000Z,2022-07-26T14:40:39.000Z
txn_b96efb0da544,2022-07-26,expense,40.2,EUR,40.2,acc_6095ddfb9f0d,cat_e7a80f49aaf2,,0,,,,2022-07-26T17:40:47.000Z,2022-07-26T14:40:51.000Z
txn_843c97a2b91c,2022-08-03,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-08-03T12:22:20.000Z,2022-08-03T13:48:19.000Z
txn_a4aea77ae83e,2022-08-03,expense,830.42,RUB,9.44,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-08-03T12:22:34.000Z,2022-08-03T13:48:19.000Z
txn_608f6e40744c,2022-08-06,expense,4.8,EUR,4.8,acc_6095ddfb9f0d,cat_d2626f412da7,,0,,,,2022-08-06T11:46:02.000Z,2022-08-06T08:46:06.000Z
txn_f3a0d21bd5af,2022-08-09,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-08-09T09:52:22.000Z,2022-08-09T06:52:30.000Z
txn_837435726cfb,2022-08-12,expense,4.2,EUR,4.2,acc_6095ddfb9f0d,cat_d2626f412da7,,0,,,,2022-08-12T14:11:15.000Z,2022-08-12T11:11:18.000Z
txn_2de2fe1e8469,2022-08-17,expense,58000,RUB,659.09,acc_1865128d98f4,,,0,,,→ ₽ Tinkoff Deposit,2022-08-17T09:20:51.000Z,2022-08-17T06:20:53.000Z
txn_c8601bdc5c54,2022-08-26,income,96432.99,RUB,1095.83,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-08-26T11:36:02.000Z,2022-08-26T08:36:19.000Z
txn_9c9b91ed2356,2022-08-26,income,86820.69,RUB,986.6,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-08-26T11:37:09.000Z,2022-08-26T08:37:46.000Z
txn_a89c5257026e,2022-09-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-09-07T09:35:47.000Z,2022-09-07T06:35:49.000Z
txn_94557a73ec3b,2022-09-07,expense,816.5,RUB,9.28,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-09-07T09:36:33.000Z,2022-09-07T06:36:35.000Z
txn_eac958da1800,2022-09-08,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-09-08T11:09:55.000Z,2022-09-08T08:10:00.000Z
txn_cb457fbbde5d,2022-09-08,expense,33333,RUB,378.78,acc_1865128d98f4,,,0,,,→ ₽ Tinkoff Deposit,2022-09-08T11:11:12.000Z,2022-09-08T08:11:30.000Z
txn_e9eb1f63e99d,2022-09-20,expense,40440,RUB,459.55,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-09-20T12:13:48.000Z,2022-09-20T09:13:50.000Z
txn_edf207e3bc17,2022-09-20,expense,19560,RUB,222.27,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-09-20T12:14:36.000Z,2022-09-20T09:14:48.000Z
txn_9a42a7255b69,2022-09-20,transfer,386,RUB,4.39,acc_72b12e885ea7,,acc_1865128d98f4,386,RUB,,,2022-09-20T13:35:42.000Z,2022-09-20T10:36:02.000Z
txn_242eea9791f0,2022-09-20,expense,666,RUB,7.57,acc_1865128d98f4,cat_555bf8344ca0,,0,,,,2022-09-20T13:35:55.000Z,2022-09-20T10:36:02.000Z
txn_fc31e5cde09a,2022-10-07,income,31282.82,RUB,355.49,acc_1865128d98f4,cat_28aa83831563,,0,,,,2022-10-07T14:21:02.000Z,2022-10-07T11:21:07.000Z
txn_133223ad5787,2022-10-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-10-07T14:22:21.000Z,2022-10-07T11:22:35.000Z
txn_af4739c5fe58,2022-10-07,expense,907.7,RUB,10.31,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-10-07T14:22:54.000Z,2022-10-07T11:22:56.000Z
txn_ba9cd19a66a2,2022-10-07,expense,30000,RUB,340.91,acc_1865128d98f4,,,0,,,→ ₽ Tinkoff Deposit,2022-10-07T23:57:26.000Z,2022-10-07T20:57:51.000Z
txn_f26824bf73f0,2022-10-12,expense,2,EUR,2,acc_6095ddfb9f0d,cat_9d5d9a10d8cf,,0,,,,2022-10-12T11:07:07.000Z,2022-10-16T09:22:27.000Z
txn_fd16f91eb885,2022-10-21,expense,186017,RUB,2113.83,acc_72b12e885ea7,cat_4bedd3c4b3c0,,0,,,,2022-10-21T19:17:49.000Z,2022-10-21T16:17:51.000Z
txn_f78b75ac6d29,2022-10-21,expense,45156,RUB,513.14,acc_5406da8ff21c,cat_4bedd3c4b3c0,,0,,,,2022-10-21T19:18:27.000Z,2022-10-21T16:18:40.000Z
txn_fa76380fe880,2022-10-21,expense,656466.24,RUB,7459.84,acc_72b12e885ea7,,,0,,,→ $ Tinkoff Debit,2022-10-25T17:09:30.000Z,2022-11-27T12:19:55.000Z
txn_e40aac316d67,2022-10-22,expense,11,EUR,11,acc_6095ddfb9f0d,cat_e7a80f49aaf2,,0,,,,2022-10-22T11:15:32.000Z,2022-10-22T08:56:36.000Z
txn_2f7755e5a816,2022-10-24,expense,0.99,EUR,0.99,acc_96db3930b996,cat_130fd2da7254,,0,,,,2022-10-24T14:18:37.000Z,2022-10-24T11:19:04.000Z
txn_b8377da2e781,2022-10-25,expense,10,EUR,10,acc_53cbdd5e80a9,cat_f6eff9e0848e,,0,,,,2022-10-25T22:09:42.000Z,2022-10-30T16:22:18.000Z
