zm_dump_2011,1780999454,,,"4,0",


date,categoryName,payee,comment,outcomeAccountName,outcome,outcomeCurrencyShortTitle,incomeAccountName,income,incomeCurrencyShortTitle,createdDate,changedDate
2015-09-03,"Things / Presents",,,,,,"₽ Cash","5000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-04,"Things / Presents",,,,,,"₽ Cash","10000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-04,"Things / Stuff",,,"₽ Cash","78,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-05,,,,"₽ Cash","10000,00",RUB,"₽ Tinkoff Debit","10000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:10:08"
2015-09-05,"Food & Drink / Groceries",,,"Home credit","972,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-05,"Food & Drink / Cafe",,,"Home credit","260,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-05,"Things / Stuff",,,"₽ Cash","39,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-05,"Payments / Transport",,,"Home credit","500,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-07,"Food & Drink / Cafe",,,"Home credit","219,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-09,"Food & Drink / Groceries",,,"Home credit","2189,07",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-11,"Finances / Profits",,,,,,"QB Middle","303,83",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-09-12,"Payments / Transport",,,"Home credit","1000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-12,"Food & Drink / Cafe",,,"Home credit","408,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-12,"Life / Recreation",,,"Home credit","1200,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-12,"Body / Clothes",,,"Home credit","828,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-13,"Food & Drink / Cafe",,,"₽ Cash","265,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-13,"Food & Drink / Cafe",,,"Home credit","1250,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-15,"Food & Drink / Cafe",,,"₽ Cash","98,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-15,"Food & Drink / Groceries",,,"Home credit","333,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-15,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-15,,,,"₽ Tinkoff Debit","11427,00",RUB,"Citi credit 2","11427,00",RUB,"2015-12-11 17:42:29","2015-12-11 13:48:37"
2015-09-16,"Finances / Salary",,,,,,"₽ Tinkoff Debit","5000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-16,"Food & Drink / Cafe",,,"₽ Cash","318,50",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-16,"Things / Stuff",,,"₽ Cash","18,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-16,"Food & Drink / Groceries",,,"Home credit","393,90",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-16,"Finances / Salary",,,,,,"₽ Tinkoff Debit","16586,67",RUB,"2015-12-11 17:00:21","2016-03-06 15:43:54"
2015-09-17,"Food & Drink / Cafe",,,"Home credit","42,40",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-17,"Food & Drink / Cafe",,,"Home credit","400,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-17,"Food & Drink / Cafe",,,"Home credit","240,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-18,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-19,"Food & Drink / Cafe",,,"Home credit","730,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-19,"Food & Drink / Groceries",,,"Home credit","1838,99",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-20,"Finances / Cashback",,,,,,"₽ Tinkoff Debit","0,63",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-20,"Finances / Profits",,,,,,"₽ Tinkoff Debit","611,14",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-21,,,,"₽ Cash","200000,00",RUB,"QB OSK","200000,00",RUB,"2015-12-11 17:00:21","2016-01-13 19:49:48"
2015-09-21,"Finances / Profits",,,"₽ Cash","30,00",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-09-21,Life,,,,,,"₽ Cash","200361,00",RUB,"2015-12-11 17:00:21","2020-06-13 10:59:23"
2015-09-21,"Payments / Transport",,,"Home credit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-22,,,,"₽ Tinkoff Debit","50000,00",RUB,"BRS Classic","50000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:11:56"
2015-09-22,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-23,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-24,"Food & Drink / Cafe",,,"Home credit","190,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-24,"Life / Study",,,"₽ Cash","3000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-24,,,,"₽ Tinkoff Debit","5500,00",RUB,"₽ Cash","5500,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:12:09"
2015-09-24,,,,"BRS Classic","50000,00",RUB,"₽ Tinkoff Debit","50000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:12:18"
2015-09-24,"Life / Hobby",,,"₽ Cash","400,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-25,"Payments / Apartment",,,"₽ Tinkoff Debit","10271,32",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-09-25,"Payments / Transport",,,"Home credit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-26,"Food & Drink / Cafe",,,"₽ Cash","120,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-26,"Food & Drink / Cafe",,,"Home credit","1000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-26,"Food & Drink / Groceries",,,"₽ Cash","350,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-26,"Life / Hobby",,,"₽ Cash","123,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-26,"Life / Recreation",,,,,,"₽ Cash","600,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-26,"Payments / Connection",,,"₽ Tinkoff Debit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-27,"Food & Drink / Groceries",,,"Home credit","738,04",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-27,"Body / Health",,,"Home credit","1410,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-27,"Payments / Transport",,,"₽ Cash","150,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-28,"Food & Drink / Groceries",,,"Home credit","373,50",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-28,,,,"₽ Tinkoff Debit","33000,00",RUB,"BRS Online","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:13:13"
2015-09-29,"Life / Study",,,"₽ Cash","1500,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-29,"Payments / Transport",,,"Home credit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-29,"Food & Drink / Cafe",,,"Home credit","150,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-29,"Food & Drink / Cafe",,,"Home credit","315,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-29,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-29,"Food & Drink / Cafe",,,"₽ Cash","37,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-29,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-30,"Things / Electronics",,,"₽ Tinkoff Debit","5075,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-30,,,,"BRS Online","33000,00",RUB,"₽ Tinkoff Debit","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:13:22"
2015-09-30,"Food & Drink / Cafe",,,"₽ Cash","83,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-30,"Finances / Cashback",,,,,,"Home credit","600,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-01,"Finances / Profits",,,"BRS Online","600,00",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-10-01,,,,"₽ Tinkoff Debit","34000,00",RUB,"BRS Online","34000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:13:41"
2015-10-02,"Food & Drink / Groceries",,,"₽ Cash","283,50",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-02,,,"КК Хомяк","₽ Tinkoff Debit","17200,00",RUB,"Home credit","17200,00",RUB,"2015-12-11 17:00:21","2017-07-27 20:30:55"
2015-10-02,,,,"BRS Online","33400,00",RUB,"₽ Tinkoff Debit","33400,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:13:53"
2015-10-02,"Payments / Connection",,,"₽ Tinkoff Debit","261,48",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-02,"Food & Drink / Cafe",,,"₽ Cash","228,30",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-10-02,"Finances / Salary",,,,,,"₽ Tinkoff Debit","10000,00",RUB,"2015-12-11 17:00:21","2016-03-06 15:43:54"
2015-10-05,"Payments / Transport",,,"₽ Tinkoff Debit","1200,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-06,"Food & Drink / Cafe",,,"₽ Cash","90,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-07,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-08,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-08,"Things / Electronics",,,"₽ Cash","1000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-08,,,,"₽ Tinkoff Debit","3000,00",RUB,"₽ Cash","3000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:14:14"
2015-10-09,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-10,"Payments / Apartment",,,"₽ Cash","5000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-10-10,,,,"₽ Tinkoff Debit","3600,00",RUB,"₽ Cash","3600,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:14:26"
2015-10-12,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-12,"Finances / Profits",,,,,,"QB Middle","392,51",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-10-14,"Things / Presents",,,"₽ Tinkoff Debit","3000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-10-14,"Payments / Connection",,,"₽ Tinkoff Debit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-15,,,,"₽ Tinkoff Debit","11427,00",RUB,"Citi credit 2","11427,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:14:51"
2015-10-15,"Food & Drink / Cafe",,,"₽ Cash","90,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-16,"Finances / Salary",,,,,,"₽ Tinkoff Debit","41664,00",RUB,"2015-12-11 17:00:21","2016-03-06 15:43:54"
2015-10-16,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-18,"Payments / Transport",,,"Home credit","1000,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-19,"Food & Drink / Groceries",,,"Home credit","1519,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-19,"Food & Drink / Groceries",,,"Home credit","642,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-20,"Food & Drink / Groceries",,,"Home credit","530,62",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-21,"Finances / Cashback",,,,,,"₽ Tinkoff Debit","12,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-21,"Finances / Profits",,,,,,"₽ Tinkoff Debit","377,48",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-22,"Food & Drink / Cafe",,,,,,"₽ Cash","500,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-22,"Food & Drink / Cafe",,,"Home credit","936,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-23,,,,"₽ Tinkoff Debit","45000,00",RUB,"BRS Classic","45000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:15:19"
2015-10-24,"Food & Drink / Groceries",,,"Home credit","4417,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-24,"Food & Drink / Groceries",,,"Home credit","950,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-24,"Things / Stuff",,,"Home credit","470,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-25,,,,"BRS Classic","45000,00",RUB,"₽ Tinkoff Debit","45000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:15:29"
2015-10-25,"Things / Stuff",,,"Home credit","2695,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-25,"Payments / Transport",,,"₽ Cash","8,50",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-26,,,,"₽ Tinkoff Debit","33000,00",RUB,"BRS Classic","33000,00",RUB,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-10-27,,,,"₽ Tinkoff Debit","22000,00",RUB,"BRS Classic","22000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:15:57"
2015-10-27,,,,"BRS Classic","33000,00",RUB,"₽ Tinkoff Debit","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:16:06"
2015-10-27,"Payments / Apartment",,,"₽ Tinkoff Debit","10271,32",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-10-27,"Food & Drink / Cafe",,,"₽ Cash","90,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-27,"Food & Drink / Groceries",,,"Home credit","978,90",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-28,,,,"₽ Tinkoff Debit","33000,00",RUB,"BRS Online","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:16:22"
2015-10-28,,,,"BRS Classic","22000,00",RUB,"₽ Tinkoff Debit","22000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:16:32"
2015-10-28,"Food & Drink / Cafe",,,"₽ Cash","90,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-29,"Food & Drink / Groceries",,,"Home credit","217,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-29,,,,"BRS Online","33000,00",RUB,"₽ Tinkoff Debit","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:16:45"
2015-10-29,"Food & Drink / Cafe",,,"₽ Cash","45,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-30,"Food & Drink / Cafe",,,"Home credit","80,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-30,"Finances / Cashback",,,,,,"Home credit","536,43",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-30,,,,"₽ Tinkoff Debit","33000,00",RUB,"BRS Online","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:16:54"
2015-10-31,"Food & Drink / Cafe",,,"₽ Cash","200,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-31,"Food & Drink / Cafe",,,"₽ Cash","40,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-31,"Things / Electronics",,,,,,"₽ Cash","1000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-31,"Food & Drink / Groceries",,,"₽ Tinkoff Debit","1500,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-10-31,,,,"BRS Online","33000,00",RUB,"₽ Tinkoff Debit","33000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:17:06"
2015-10-31,"Food & Drink / Cafe",AL-SHARK,,"Home credit","459,60",RUB,,,,"2015-12-11 18:44:52","2015-12-11 15:44:53"
2015-11-01,"Food & Drink / Cafe",AL-SHARK,,"Home credit","263,40",RUB,,,,"2015-12-11 18:44:06","2015-12-11 15:44:06"
2015-11-01,"Things / Electronics","AUCHAN PITER BOROVAJA",,"Home credit","194,53",RUB,,,,"2015-12-11 18:44:13","2015-12-11 15:45:59"
2015-11-01,"Food & Drink / Cafe","MCDONALDS 21034",,"Home credit","293,00",RUB,,,,"2015-12-11 18:44:45","2015-12-11 15:44:46"
2015-11-02,"Food & Drink / Cafe",,,"₽ Cash","90,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-02,,,,"₽ Tinkoff Debit","17000,00",RUB,"BRS Online","17000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:17:24"
2015-11-02,"Finances / Salary",,,,,,"₽ Tinkoff Debit","10000,00",RUB,"2015-12-11 17:00:21","2016-03-06 15:43:54"
2015-11-02,,,"КК Хомяк","₽ Tinkoff Debit","15379,38",RUB,"Home credit","15379,38",RUB,"2015-12-11 17:00:21","2017-07-27 20:31:01"
2015-11-02,"Payments / Connection",HCFB,,"Home credit","300,00",RUB,,,,"2015-12-11 18:43:50","2015-12-11 15:43:50"
2015-11-03,"Food & Drink / Cafe",,,"₽ Cash","280,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-03,,,,"₽ Tinkoff Debit","600,00",RUB,"BRS Classic","600,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:17:58"
2015-11-03,"Finances / Profits",,,"BRS Classic","600,00",RUB,,,,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-11-05,"Payments / Transport",,,"₽ Tinkoff Debit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-05,"Food & Drink / Cafe",,,"₽ Cash","110,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-05,,,,"₽ Tinkoff Debit","17000,00",RUB,"BRS Online","17000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:18:14"
2015-11-05,,,,"BRS Online","17000,00",RUB,"₽ Tinkoff Debit","17000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:18:24"
2015-11-06,,,,"BRS Online","17000,00",RUB,"₽ Tinkoff Debit","17000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:18:33"
2015-11-08,"Food & Drink / Groceries",OKEY,,"Home credit","4076,50",RUB,,,,"2015-12-11 18:43:39","2015-12-11 15:45:26"
2015-11-09,"Food & Drink / Cafe",,,"₽ Cash","670,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-10,"Life / Study",,,,,,"₽ Tinkoff Debit","300,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-10,"Food & Drink / Groceries",DIXY,,"Home credit","228,90",RUB,,,,"2015-12-11 18:41:18","2015-12-11 15:41:20"
2015-11-10,"Payments / Transport",METRO.SPB.RU,,"Home credit","300,00",RUB,,,,"2015-12-11 18:43:31","2015-12-11 15:43:31"
2015-11-11,"Finances / Profits",,,,,,"QB Middle","616,47",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-11-12,"Food & Drink / Groceries",DIXY,,"Home credit","512,61",RUB,,,,"2015-12-11 18:41:17","2015-12-11 15:41:18"
2015-11-13,,,,"₽ Tinkoff Debit","11427,00",RUB,"Citi credit 2","11427,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:18:56"
2015-11-13,"Food & Drink / Cafe",EVRAZIA,,"Home credit","930,00",RUB,,,,"2015-12-11 18:41:07","2015-12-11 15:41:07"
2015-11-13,"Things / Stuff","""XRIZOLIT"" SHOP",,"Home credit","604,66",RUB,,,,"2015-12-11 18:41:13","2015-12-11 15:42:50"
2015-11-14,"Payments / Transport",,,"₽ Cash","130,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-11-14,"Finances / Salary",,,,,,"₽ Tinkoff Debit","40756,19",RUB,"2015-12-11 17:00:21","2016-03-06 15:43:54"
2015-11-16,"Food & Drink / Groceries",DIXY,,"Home credit","2422,21",RUB,,,,"2015-12-11 18:41:05","2015-12-11 15:41:05"
